metro,year,age_bracket,households
"Aberdeen, WA Micro Area",2005,25_44,7890.0
"Aberdeen, WA Micro Area",2005,45_64,11933.0
"Aberdeen, WA Micro Area",2005,65_plus,6620.0
"Aberdeen, WA Micro Area",2005,under_25,1311.0
"Aberdeen, WA Micro Area",2006,25_44,8515.0
"Aberdeen, WA Micro Area",2006,45_64,11405.0
"Aberdeen, WA Micro Area",2006,65_plus,7370.0
"Aberdeen, WA Micro Area",2006,under_25,1326.0
"Aberdeen, WA Micro Area",2007,25_44,8411.0
"Aberdeen, WA Micro Area",2007,45_64,11015.0
"Aberdeen, WA Micro Area",2007,65_plus,6142.0
"Aberdeen, WA Micro Area",2007,under_25,1820.0
"Aberdeen, WA Micro Area",2008,25_44,8162.0
"Aberdeen, WA Micro Area",2008,45_64,11731.0
"Aberdeen, WA Micro Area",2008,65_plus,7527.0
"Aberdeen, WA Micro Area",2008,under_25,1624.0
"Aberdeen, WA Micro Area",2009,25_44,7618.0
"Aberdeen, WA Micro Area",2009,45_64,11036.0
"Aberdeen, WA Micro Area",2009,65_plus,7654.0
"Aberdeen, WA Micro Area",2009,under_25,1451.0
"Aberdeen, WA Micro Area",2010,25_44,6724.0
"Aberdeen, WA Micro Area",2010,45_64,12754.0
"Aberdeen, WA Micro Area",2010,65_plus,7358.0
"Aberdeen, WA Micro Area",2010,under_25,1540.0
"Aberdeen, WA Micro Area",2011,25_44,6086.0
"Aberdeen, WA Micro Area",2011,45_64,11834.0
"Aberdeen, WA Micro Area",2011,65_plus,6811.0
"Aberdeen, WA Micro Area",2011,under_25,888.0
"Aberdeen, WA Micro Area",2012,25_44,7052.0
"Aberdeen, WA Micro Area",2012,45_64,11808.0
"Aberdeen, WA Micro Area",2012,65_plus,8173.0
"Aberdeen, WA Micro Area",2012,under_25,847.0
"Aberdeen, WA Micro Area",2013,25_44,7994.0
"Aberdeen, WA Micro Area",2013,45_64,10907.0
"Aberdeen, WA Micro Area",2013,65_plus,6917.0
"Aberdeen, WA Micro Area",2013,under_25,997.0
"Aberdeen, WA Micro Area",2014,25_44,6820.0
"Aberdeen, WA Micro Area",2014,45_64,11232.0
"Aberdeen, WA Micro Area",2014,65_plus,8568.0
"Aberdeen, WA Micro Area",2014,under_25,781.0
"Aberdeen, WA Micro Area",2015,25_44,6650.0
"Aberdeen, WA Micro Area",2015,45_64,10783.0
"Aberdeen, WA Micro Area",2015,65_plus,9350.0
"Aberdeen, WA Micro Area",2015,under_25,647.0
"Aberdeen, WA Micro Area",2016,25_44,6677.0
"Aberdeen, WA Micro Area",2016,45_64,10933.0
"Aberdeen, WA Micro Area",2016,65_plus,8897.0
"Aberdeen, WA Micro Area",2016,under_25,823.0
"Aberdeen, WA Micro Area",2017,25_44,7643.0
"Aberdeen, WA Micro Area",2017,45_64,11115.0
"Aberdeen, WA Micro Area",2017,65_plus,9506.0
"Aberdeen, WA Micro Area",2017,under_25,1022.0
"Aberdeen, WA Micro Area",2018,25_44,6628.0
"Aberdeen, WA Micro Area",2018,45_64,11319.0
"Aberdeen, WA Micro Area",2018,65_plus,8920.0
"Aberdeen, WA Micro Area",2018,under_25,807.0
"Aberdeen, WA Micro Area",2019,25_44,7416.0
"Aberdeen, WA Micro Area",2019,45_64,11272.0
"Aberdeen, WA Micro Area",2019,65_plus,10741.0
"Aberdeen, WA Micro Area",2019,under_25,491.0
"Aberdeen, WA Micro Area",2021,25_44,7674.0
"Aberdeen, WA Micro Area",2021,45_64,10792.0
"Aberdeen, WA Micro Area",2021,65_plus,10979.0
"Aberdeen, WA Micro Area",2021,under_25,1055.0
"Aberdeen, WA Micro Area",2022,25_44,8662.0
"Aberdeen, WA Micro Area",2022,45_64,10345.0
"Aberdeen, WA Micro Area",2022,65_plus,11602.0
"Aberdeen, WA Micro Area",2022,under_25,386.0
"Aberdeen, WA Micro Area",2023,25_44,7824.0
"Aberdeen, WA Micro Area",2023,45_64,10004.0
"Aberdeen, WA Micro Area",2023,65_plus,12189.0
"Aberdeen, WA Micro Area",2023,under_25,481.0
"Aberdeen, WA Micro Area",2024,25_44,7011.0
"Aberdeen, WA Micro Area",2024,45_64,11957.0
"Aberdeen, WA Micro Area",2024,65_plus,12052.0
"Aberdeen, WA Micro Area",2024,under_25,948.0
"Abilene, TX Metro Area",2005,25_44,21324.0
"Abilene, TX Metro Area",2005,45_64,20116.0
"Abilene, TX Metro Area",2005,65_plus,13366.0
"Abilene, TX Metro Area",2005,under_25,5726.0
"Abilene, TX Metro Area",2006,25_44,19531.0
"Abilene, TX Metro Area",2006,45_64,20773.0
"Abilene, TX Metro Area",2006,65_plus,14379.0
"Abilene, TX Metro Area",2006,under_25,5167.0
"Abilene, TX Metro Area",2007,25_44,19960.0
"Abilene, TX Metro Area",2007,45_64,21863.0
"Abilene, TX Metro Area",2007,65_plus,14189.0
"Abilene, TX Metro Area",2007,under_25,4680.0
"Abilene, TX Metro Area",2008,25_44,21761.0
"Abilene, TX Metro Area",2008,45_64,19815.0
"Abilene, TX Metro Area",2008,65_plus,13909.0
"Abilene, TX Metro Area",2008,under_25,4475.0
"Abilene, TX Metro Area",2009,25_44,18380.0
"Abilene, TX Metro Area",2009,45_64,20734.0
"Abilene, TX Metro Area",2009,65_plus,14188.0
"Abilene, TX Metro Area",2009,under_25,4750.0
"Abilene, TX Metro Area",2010,25_44,18865.0
"Abilene, TX Metro Area",2010,45_64,21708.0
"Abilene, TX Metro Area",2010,65_plus,13853.0
"Abilene, TX Metro Area",2010,under_25,5431.0
"Abilene, TX Metro Area",2011,25_44,18581.0
"Abilene, TX Metro Area",2011,45_64,21950.0
"Abilene, TX Metro Area",2011,65_plus,13950.0
"Abilene, TX Metro Area",2011,under_25,4493.0
"Abilene, TX Metro Area",2012,25_44,20491.0
"Abilene, TX Metro Area",2012,45_64,20166.0
"Abilene, TX Metro Area",2012,65_plus,14938.0
"Abilene, TX Metro Area",2012,under_25,4471.0
"Abilene, TX Metro Area",2013,25_44,19052.0
"Abilene, TX Metro Area",2013,45_64,20679.0
"Abilene, TX Metro Area",2013,65_plus,14860.0
"Abilene, TX Metro Area",2013,under_25,5997.0
"Abilene, TX Metro Area",2014,25_44,19482.0
"Abilene, TX Metro Area",2014,45_64,20171.0
"Abilene, TX Metro Area",2014,65_plus,14504.0
"Abilene, TX Metro Area",2014,under_25,5775.0
"Abilene, TX Metro Area",2015,25_44,19099.0
"Abilene, TX Metro Area",2015,45_64,20693.0
"Abilene, TX Metro Area",2015,65_plus,14782.0
"Abilene, TX Metro Area",2015,under_25,4798.0
"Abilene, TX Metro Area",2016,25_44,19127.0
"Abilene, TX Metro Area",2016,45_64,20152.0
"Abilene, TX Metro Area",2016,65_plus,15441.0
"Abilene, TX Metro Area",2016,under_25,4543.0
"Abilene, TX Metro Area",2017,25_44,19782.0
"Abilene, TX Metro Area",2017,45_64,20464.0
"Abilene, TX Metro Area",2017,65_plus,16056.0
"Abilene, TX Metro Area",2017,under_25,5301.0
"Abilene, TX Metro Area",2018,25_44,18550.0
"Abilene, TX Metro Area",2018,45_64,20967.0
"Abilene, TX Metro Area",2018,65_plus,15770.0
"Abilene, TX Metro Area",2018,under_25,6240.0
"Abilene, TX Metro Area",2019,25_44,20841.0
"Abilene, TX Metro Area",2019,45_64,19147.0
"Abilene, TX Metro Area",2019,65_plus,16778.0
"Abilene, TX Metro Area",2019,under_25,4984.0
"Abilene, TX Metro Area",2021,25_44,24019.0
"Abilene, TX Metro Area",2021,45_64,21320.0
"Abilene, TX Metro Area",2021,65_plus,16056.0
"Abilene, TX Metro Area",2021,under_25,5421.0
"Abilene, TX Metro Area",2022,25_44,22305.0
"Abilene, TX Metro Area",2022,45_64,19142.0
"Abilene, TX Metro Area",2022,65_plus,16911.0
"Abilene, TX Metro Area",2022,under_25,7395.0
"Abilene, TX Metro Area",2023,25_44,25353.0
"Abilene, TX Metro Area",2023,45_64,18389.0
"Abilene, TX Metro Area",2023,65_plus,18217.0
"Abilene, TX Metro Area",2023,under_25,4501.0
"Abilene, TX Metro Area",2024,25_44,22857.0
"Abilene, TX Metro Area",2024,45_64,18302.0
"Abilene, TX Metro Area",2024,65_plus,19190.0
"Abilene, TX Metro Area",2024,under_25,5750.0
"Adrian, MI Micro Area",2005,25_44,12523.0
"Adrian, MI Micro Area",2005,45_64,14623.0
"Adrian, MI Micro Area",2005,65_plus,8105.0
"Adrian, MI Micro Area",2005,under_25,1825.0
"Adrian, MI Micro Area",2006,25_44,12388.0
"Adrian, MI Micro Area",2006,45_64,15187.0
"Adrian, MI Micro Area",2006,65_plus,8429.0
"Adrian, MI Micro Area",2006,under_25,1732.0
"Adrian, MI Micro Area",2007,25_44,13768.0
"Adrian, MI Micro Area",2007,45_64,15095.0
"Adrian, MI Micro Area",2007,65_plus,8450.0
"Adrian, MI Micro Area",2007,under_25,687.0
"Adrian, MI Micro Area",2008,25_44,11699.0
"Adrian, MI Micro Area",2008,45_64,15665.0
"Adrian, MI Micro Area",2008,65_plus,8598.0
"Adrian, MI Micro Area",2008,under_25,1222.0
"Adrian, MI Micro Area",2009,25_44,11359.0
"Adrian, MI Micro Area",2009,45_64,16211.0
"Adrian, MI Micro Area",2009,65_plus,8166.0
"Adrian, MI Micro Area",2009,under_25,1099.0
"Adrian, MI Micro Area",2010,25_44,11088.0
"Adrian, MI Micro Area",2010,45_64,15237.0
"Adrian, MI Micro Area",2010,65_plus,8883.0
"Adrian, MI Micro Area",2010,under_25,1133.0
"Adrian, MI Micro Area",2011,25_44,10910.0
"Adrian, MI Micro Area",2011,45_64,16016.0
"Adrian, MI Micro Area",2011,65_plus,9752.0
"Adrian, MI Micro Area",2011,under_25,1377.0
"Adrian, MI Micro Area",2012,25_44,10733.0
"Adrian, MI Micro Area",2012,45_64,16648.0
"Adrian, MI Micro Area",2012,65_plus,9478.0
"Adrian, MI Micro Area",2012,under_25,1139.0
"Adrian, MI Micro Area",2013,25_44,10587.0
"Adrian, MI Micro Area",2013,45_64,16085.0
"Adrian, MI Micro Area",2013,65_plus,9495.0
"Adrian, MI Micro Area",2013,under_25,1103.0
"Adrian, MI Micro Area",2014,25_44,11267.0
"Adrian, MI Micro Area",2014,45_64,15293.0
"Adrian, MI Micro Area",2014,65_plus,10605.0
"Adrian, MI Micro Area",2014,under_25,1318.0
"Adrian, MI Micro Area",2015,25_44,10148.0
"Adrian, MI Micro Area",2015,45_64,15425.0
"Adrian, MI Micro Area",2015,65_plus,10137.0
"Adrian, MI Micro Area",2015,under_25,1306.0
"Adrian, MI Micro Area",2016,25_44,10494.0
"Adrian, MI Micro Area",2016,45_64,15378.0
"Adrian, MI Micro Area",2016,65_plus,10671.0
"Adrian, MI Micro Area",2016,under_25,1238.0
"Adrian, MI Micro Area",2017,25_44,10883.0
"Adrian, MI Micro Area",2017,45_64,16190.0
"Adrian, MI Micro Area",2017,65_plus,10218.0
"Adrian, MI Micro Area",2017,under_25,1268.0
"Adrian, MI Micro Area",2018,25_44,9285.0
"Adrian, MI Micro Area",2018,45_64,15586.0
"Adrian, MI Micro Area",2018,65_plus,11422.0
"Adrian, MI Micro Area",2018,under_25,2095.0
"Adrian, MI Micro Area",2019,25_44,10245.0
"Adrian, MI Micro Area",2019,45_64,14991.0
"Adrian, MI Micro Area",2019,65_plus,11900.0
"Adrian, MI Micro Area",2019,under_25,1363.0
"Adrian, MI Micro Area",2021,25_44,11833.0
"Adrian, MI Micro Area",2021,45_64,14101.0
"Adrian, MI Micro Area",2021,65_plus,11946.0
"Adrian, MI Micro Area",2021,under_25,1083.0
"Adrian, MI Micro Area",2022,25_44,10606.0
"Adrian, MI Micro Area",2022,45_64,14520.0
"Adrian, MI Micro Area",2022,65_plus,12410.0
"Adrian, MI Micro Area",2022,under_25,728.0
"Adrian, MI Micro Area",2023,25_44,10704.0
"Adrian, MI Micro Area",2023,45_64,15490.0
"Adrian, MI Micro Area",2023,65_plus,12961.0
"Adrian, MI Micro Area",2023,under_25,987.0
"Adrian, MI Micro Area",2024,25_44,11353.0
"Adrian, MI Micro Area",2024,45_64,14403.0
"Adrian, MI Micro Area",2024,65_plus,12706.0
"Adrian, MI Micro Area",2024,under_25,1282.0
"Aguadilla, PR Metro Area",2023,25_44,18626.0
"Aguadilla, PR Metro Area",2023,45_64,33815.0
"Aguadilla, PR Metro Area",2023,65_plus,35913.0
"Aguadilla, PR Metro Area",2023,under_25,1020.0
"Aguadilla, PR Metro Area",2024,25_44,18815.0
"Aguadilla, PR Metro Area",2024,45_64,30964.0
"Aguadilla, PR Metro Area",2024,65_plus,34900.0
"Aguadilla, PR Metro Area",2024,under_25,1559.0
"Aguadilla-Isabela, PR Metro Area",2013,25_44,30303.0
"Aguadilla-Isabela, PR Metro Area",2013,45_64,44213.0
"Aguadilla-Isabela, PR Metro Area",2013,65_plus,33654.0
"Aguadilla-Isabela, PR Metro Area",2013,under_25,2595.0
"Aguadilla-Isabela, PR Metro Area",2014,25_44,28391.0
"Aguadilla-Isabela, PR Metro Area",2014,45_64,41277.0
"Aguadilla-Isabela, PR Metro Area",2014,65_plus,36499.0
"Aguadilla-Isabela, PR Metro Area",2014,under_25,2390.0
"Aguadilla-Isabela, PR Metro Area",2015,25_44,27496.0
"Aguadilla-Isabela, PR Metro Area",2015,45_64,43160.0
"Aguadilla-Isabela, PR Metro Area",2015,65_plus,37006.0
"Aguadilla-Isabela, PR Metro Area",2015,under_25,1924.0
"Aguadilla-Isabela, PR Metro Area",2016,25_44,27943.0
"Aguadilla-Isabela, PR Metro Area",2016,45_64,41565.0
"Aguadilla-Isabela, PR Metro Area",2016,65_plus,38371.0
"Aguadilla-Isabela, PR Metro Area",2016,under_25,2437.0
"Aguadilla-Isabela, PR Metro Area",2017,25_44,28766.0
"Aguadilla-Isabela, PR Metro Area",2017,45_64,43556.0
"Aguadilla-Isabela, PR Metro Area",2017,65_plus,38646.0
"Aguadilla-Isabela, PR Metro Area",2017,under_25,1247.0
"Aguadilla-Isabela, PR Metro Area",2018,25_44,26203.0
"Aguadilla-Isabela, PR Metro Area",2018,45_64,44848.0
"Aguadilla-Isabela, PR Metro Area",2018,65_plus,37041.0
"Aguadilla-Isabela, PR Metro Area",2018,under_25,1439.0
"Aguadilla-Isabela, PR Metro Area",2019,25_44,22486.0
"Aguadilla-Isabela, PR Metro Area",2019,45_64,38262.0
"Aguadilla-Isabela, PR Metro Area",2019,65_plus,38899.0
"Aguadilla-Isabela, PR Metro Area",2019,under_25,1921.0
"Aguadilla-Isabela, PR Metro Area",2021,25_44,21405.0
"Aguadilla-Isabela, PR Metro Area",2021,45_64,41882.0
"Aguadilla-Isabela, PR Metro Area",2021,65_plus,43056.0
"Aguadilla-Isabela, PR Metro Area",2021,under_25,1229.0
"Aguadilla-Isabela, PR Metro Area",2022,25_44,27203.0
"Aguadilla-Isabela, PR Metro Area",2022,45_64,45892.0
"Aguadilla-Isabela, PR Metro Area",2022,65_plus,41619.0
"Aguadilla-Isabela, PR Metro Area",2022,under_25,1142.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2005,25_44,26163.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2005,45_64,41751.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2005,65_plus,29816.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2005,under_25,2617.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2006,25_44,32066.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2006,45_64,38155.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2006,65_plus,25483.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2006,under_25,2196.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2007,25_44,27680.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2007,45_64,41360.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2007,65_plus,26344.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2007,under_25,834.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2008,25_44,26157.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2008,45_64,36509.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2008,65_plus,26835.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2008,under_25,1262.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2009,25_44,23407.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2009,45_64,39104.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2009,65_plus,28128.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2009,under_25,1166.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2010,25_44,33079.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2010,45_64,43606.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2010,65_plus,29167.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2010,under_25,2404.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2011,25_44,30465.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2011,45_64,40340.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2011,65_plus,29881.0
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",2011,under_25,2356.0
"Aguadilla-Isabela-San Sebastián, PR Metro Area",2012,25_44,27210.0
"Aguadilla-Isabela-San Sebastián, PR Metro Area",2012,45_64,39720.0
"Aguadilla-Isabela-San Sebastián, PR Metro Area",2012,65_plus,30502.0
"Aguadilla-Isabela-San Sebastián, PR Metro Area",2012,under_25,2042.0
"Akron, OH Metro Area",2005,25_44,99290.0
"Akron, OH Metro Area",2005,45_64,103162.0
"Akron, OH Metro Area",2005,65_plus,57792.0
"Akron, OH Metro Area",2005,under_25,16172.0
"Akron, OH Metro Area",2006,25_44,98605.0
"Akron, OH Metro Area",2006,45_64,109198.0
"Akron, OH Metro Area",2006,65_plus,58574.0
"Akron, OH Metro Area",2006,under_25,14460.0
"Akron, OH Metro Area",2007,25_44,95495.0
"Akron, OH Metro Area",2007,45_64,112470.0
"Akron, OH Metro Area",2007,65_plus,57575.0
"Akron, OH Metro Area",2007,under_25,16129.0
"Akron, OH Metro Area",2008,25_44,95747.0
"Akron, OH Metro Area",2008,45_64,111775.0
"Akron, OH Metro Area",2008,65_plus,59151.0
"Akron, OH Metro Area",2008,under_25,15058.0
"Akron, OH Metro Area",2009,25_44,90391.0
"Akron, OH Metro Area",2009,45_64,113379.0
"Akron, OH Metro Area",2009,65_plus,61313.0
"Akron, OH Metro Area",2009,under_25,16686.0
"Akron, OH Metro Area",2010,25_44,84099.0
"Akron, OH Metro Area",2010,45_64,116429.0
"Akron, OH Metro Area",2010,65_plus,65672.0
"Akron, OH Metro Area",2010,under_25,15323.0
"Akron, OH Metro Area",2011,25_44,83763.0
"Akron, OH Metro Area",2011,45_64,113973.0
"Akron, OH Metro Area",2011,65_plus,63617.0
"Akron, OH Metro Area",2011,under_25,13343.0
"Akron, OH Metro Area",2012,25_44,83957.0
"Akron, OH Metro Area",2012,45_64,116261.0
"Akron, OH Metro Area",2012,65_plus,66098.0
"Akron, OH Metro Area",2012,under_25,14571.0
"Akron, OH Metro Area",2013,25_44,84161.0
"Akron, OH Metro Area",2013,45_64,114348.0
"Akron, OH Metro Area",2013,65_plus,68227.0
"Akron, OH Metro Area",2013,under_25,14588.0
"Akron, OH Metro Area",2014,25_44,84364.0
"Akron, OH Metro Area",2014,45_64,112995.0
"Akron, OH Metro Area",2014,65_plus,71529.0
"Akron, OH Metro Area",2014,under_25,14476.0
"Akron, OH Metro Area",2015,25_44,83228.0
"Akron, OH Metro Area",2015,45_64,112646.0
"Akron, OH Metro Area",2015,65_plus,71375.0
