cbsa,name,households_income_lt_10k,households_income_10k_15k,households_income_15k_20k,households_income_20k_25k,households_income_25k_30k,households_income_30k_35k,households_income_35k_40k,households_income_40k_45k,households_income_45k_50k,households_income_50k_60k,households_income_60k_75k,households_income_75k_100k,households_income_100k_125k,households_income_125k_150k,households_income_150k_200k,households_income_200k_plus,housing_units,occupied_housing_units,vacant_housing_units,housing_units_1_detached,housing_units_1_attached,housing_units_2,housing_units_3_4,housing_units_5_9,housing_units_10_19,housing_units_20_49,housing_units_50_plus,housing_units_mobile_home,housing_units_other,owner_households,owner_households_15_24,owner_households_25_34,owner_households_35_44,owner_households_45_54,owner_households_55_59,owner_households_60_64,owner_households_65_74,owner_households_75_84,owner_households_85_plus,renter_households,renter_households_15_24,renter_households_25_34,renter_households_35_44,renter_households_45_54,renter_households_55_59,renter_households_60_64,renter_households_65_74,renter_households_75_84,renter_households_85_plus,year,households_income_50k_to_100k,housing_units_multifamily_5plus,share_sf_detached,share_multifamily_5plus,vacancy_rate,households_25_44,owner_households_25_44,renter_households_25_44,share_households_25_44
10140,"Aberdeen, WA Micro Area",2709,2262,2523,2025,1843,1952,1459,1333,1587,2113,3267,2868,964,211,490,148,33550,27754,5796,20932.0,895.0,1334.0,1622.0,1653.0,347.0,546.0,298.0,5750.0,173.0,17278,79,1376,2813,4170,1921,2438,2036,2053,392,10476,1232,2143,1558,2092,683,629,1123,619,397,2005,8248,2844.0,0.6239046199701938,0.08476900149031297,0.17275707898658718,7890,4189,3701,0.2842833465446422
10140,"Aberdeen, WA Micro Area",3309,2493,1351,1537,1673,2056,1731,1691,2032,2784,2039,3500,1292,414,332,382,33868,28616,5252,22272.0,1098.0,629.0,1705.0,1212.0,842.0,732.0,209.0,5050.0,119.0,18818,255,2039,2192,4824,2228,2043,2413,2126,698,9798,1071,2265,2019,1498,524,288,1063,869,201,2006,8323,2995.0,0.6576119050431085,0.08843155781268454,0.15507263493563245,8515,4231,4284,0.29756080514397537
10140,"Aberdeen, WA Micro Area",1408,1960,1396,1915,1668,2156,1672,1931,2032,2890,3110,2510,1441,515,524,260,34311,27388,6923,24879.0,430.0,397.0,2219.0,832.0,446.0,806.0,45.0,4257.0,0.0,19637,532,1673,2860,5151,2123,2146,2700,1894,558,7751,1288,1859,2019,833,420,342,353,477,160,2007,8510,2129.0,0.7251027367316604,0.06205007140567165,0.20177202646381626,8411,4533,3878,0.30710530159193805
10140,"Aberdeen, WA Micro Area",2186,1203,2550,2914,1487,1637,2055,1421,1059,3065,2999,4018,1407,314,552,177,34686,29044,5642,24157.0,534.0,1044.0,1752.0,1231.0,313.0,865.0,198.0,4542.0,50.0,18565,618,1727,2302,3775,2396,1896,3243,1538,1070,10479,1006,2153,1980,2369,691,604,751,582,343,2008,10082,2607.0,0.6964481346941129,0.07516000691921813,0.16265928616732975,8162,4029,4133,0.28102189781021897
10140,"Aberdeen, WA Micro Area",2603,2418,2082,2026,1853,2207,1861,1625,1614,1813,1809,2561,2258,463,245,321,35070,27759,7311,22325.0,375.0,1472.0,655.0,2494.0,460.0,1301.0,532.0,5355.0,101.0,18319,59,1477,2535,3287,2065,2452,4086,1690,668,9440,1392,1984,1622,1953,953,326,502,450,258,2009,6183,4787.0,0.6365839749073282,0.13649843170801254,0.20846877673224978,7618,4012,3606,0.2744335170575309
10140,"Aberdeen, WA Micro Area",2185,1158,1677,2657,2575,2056,1871,1661,1388,2418,3146,2962,1387,398,480,357,35179,28376,6803,25100.0,401.0,696.0,1543.0,777.0,267.0,688.0,424.0,5048.0,235.0,19916,394,1042,2478,3993,2639,2732,4039,2025,574,8460,1146,1758,1446,1857,1234,299,244,387,89,2010,8526,2156.0,0.7134938457602547,0.06128656300633901,0.19338241564569772,6724,3520,3204,0.23696081195376376
10140,"Aberdeen, WA Micro Area",2711,1121,1753,1443,2175,1745,1491,1536,1311,2375,1916,3215,1842,529,383,73,35270,25619,9651,25167.0,797.0,1030.0,788.0,752.0,1041.0,476.0,703.0,4451.0,65.0,18414,37,945,2329,3698,3066,2530,3341,1832,636,7205,851,1645,1167,1465,649,426,652,132,218,2011,7506,2972.0,0.7135525942727531,0.084264247235611,0.27363198185426707,6086,3274,2812,0.23755806237558064
10140,"Aberdeen, WA Micro Area",2554,2594,1200,1695,1627,1456,1946,1724,1822,2144,2791,2752,2154,382,564,475,35230,27880,7350,26547.0,558.0,565.0,697.0,1136.0,287.0,798.0,227.0,4178.0,237.0,19704,67,1536,2042,3716,2555,2966,4014,2348,460,8176,780,1753,1721,1322,755,494,591,455,305,2012,7687,2448.0,0.7535339199545842,0.0694862333238717,0.20862900936701675,7052,3578,3474,0.2529411764705882
10140,"Aberdeen, WA Micro Area",3027,1974,1173,1834,1815,1756,1353,1222,933,2020,3601,2923,1799,476,670,239,35090,26815,8275,25232.0,978.0,641.0,594.0,800.0,829.0,663.0,722.0,3828.0,803.0,17840,126,1234,2528,3711,2341,2493,3466,1338,603,8975,871,1940,2292,1252,641,469,591,712,207,2013,8544,3014.0,0.7190652607580508,0.08589341692789969,0.2358221715588487,7994,3762,4232,0.29811672571322023
10140,"Aberdeen, WA Micro Area",2907,1786,1012,2071,1299,1832,1653,1939,1377,1491,3703,2744,2201,487,285,614,35248,27401,7847,25372.0,328.0,753.0,1134.0,971.0,1564.0,373.0,377.0,4363.0,13.0,17764,108,628,1727,3316,2131,2758,4221,2186,689,9637,673,2734,1731,1657,1108,262,1085,243,144,2014,7938,3285.0,0.7198138901497957,0.09319677712210622,0.22262256014525647,6820,2355,4465,0.24889602569249297
