AREA,AREA_NAME,OCC_CODE,A_PCT25,A_MEDIAN,A_PCT75,YEAR,AREA_TITLE
31100,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,19910,31680,52230,2005,
41860,"San Francisco-Oakland-Fremont, CA",00-0000,24940,40400,64190,2005,
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",00-0000,24130,39300,65520,2005,
33100,"Miami-Fort Lauderdale-Miami Beach, FL",00-0000,18850,27550,43750,2005,
16980,"Chicago-Naperville-Joilet, IL-IN-WI",00-0000,20540,32140,52080,2005,
71650,"Boston-Cambridge-Quincy, MA-NH",00-0000,25150,38410,59780,2005,
19820,"Detroit-Warren-Livonia, MI",00-0000,22540,35730,55980,2005,
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",00-0000,22980,36510,58740,2005,
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",00-0000,21510,33230,51680,2005,
19100,"Dallas-Fort Worth-Arlington, TX",00-0000,19600,29570,47330,2005,
42660,"Seattle-Tacoma-Bellevue, WA",00-0000,24400,36600,56190,2005,
31100,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,20610,32950,54300,2006,
41860,"San Francisco-Oakland-Fremont, CA",00-0000,25840,41930,66650,2006,
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",00-0000,25330,41210,69190,2006,
33100,"Miami-Fort Lauderdale-Miami Beach, FL",00-0000,19740,28720,45680,2006,
16980,"Chicago-Naperville-Joilet, IL-IN-WI",00-0000,21080,33220,54480,2006,
71650,"Boston-Cambridge-Quincy, MA-NH",00-0000,25750,39470,62270,2006,
19820,"Detroit-Warren-Livonia, MI",00-0000,23120,36550,58160,2006,
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",00-0000,23740,37780,61290,2006,
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",00-0000,22400,34470,53650,2006,
19100,"Dallas-Fort Worth-Arlington, TX",00-0000,19970,30250,48350,2006,
42660,"Seattle-Tacoma-Bellevue, WA",00-0000,25410,37920,58510,2006,
31100,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,21580,34380,56770,2007,
41860,"San Francisco-Oakland-Fremont, CA",00-0000,26690,43210,69080,2007,
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",00-0000,26290,42670,71700,2007,
33100,"Miami-Fort Lauderdale-Miami Beach, FL",00-0000,20450,29850,47250,2007,
16980,"Chicago-Naperville-Joliet, IL-IN-WI",00-0000,21710,34570,57500,2007,
71650,"Boston-Cambridge-Quincy, MA-NH",00-0000,26400,40440,64570,2007,
19820,"Detroit-Warren-Livonia, MI",00-0000,23430,37300,59550,2007,
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",00-0000,24590,39120,63240,2007,
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",00-0000,22990,35270,55040,2007,
19100,"Dallas-Fort Worth-Arlington, TX",00-0000,20590,31340,50380,2007,
42660,"Seattle-Tacoma-Bellevue, WA",00-0000,26600,39210,61030,2007,
31100,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,22390,35610,59630,2008,
41860,"San Francisco-Oakland-Fremont, CA",00-0000,27670,44930,72270,2008,
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",00-0000,27260,44620,75540,2008,
33100,"Miami-Fort Lauderdale-Miami Beach, FL",00-0000,21000,30760,48780,2008,
16980,"Chicago-Naperville-Joliet, IL-IN-WI",00-0000,22390,35590,60170,2008,
71650,"Boston-Cambridge-Quincy, MA-NH",00-0000,27110,41740,67000,2008,
19820,"Detroit-Warren-Livonia, MI",00-0000,23490,37100,60280,2008,
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",00-0000,25340,40280,65590,2008,
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",00-0000,23920,36440,57260,2008,
19100,"Dallas-Fort Worth-Arlington, TX",00-0000,21160,32340,52060,2008,
42660,"Seattle-Tacoma-Bellevue, WA",00-0000,27210,40390,63590,2008,
31100,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,22900,36370,61050,2009,
41860,"San Francisco-Oakland-Fremont, CA",00-0000,28010,45580,74030,2009,
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",00-0000,27700,46520,78930,2009,
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",00-0000,21210,31240,49530,2009,
16980,"Chicago-Naperville-Joliet, IL-IN-WI",00-0000,22590,36410,61160,2009,
71650,"Boston-Cambridge-Quincy, MA-NH",00-0000,27840,43210,69690,2009,
19820,"Detroit-Warren-Livonia, MI",00-0000,23430,36680,59440,2009,
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",00-0000,25570,41110,67530,2009,
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",00-0000,24610,37620,58740,2009,
19100,"Dallas-Fort Worth-Arlington, TX",00-0000,21720,33610,54230,2009,
42660,"Seattle-Tacoma-Bellevue, WA",00-0000,27770,41630,65720,2009,
31100,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,23090,36920,62790,2010,
41860,"San Francisco-Oakland-Fremont, CA",00-0000,28640,46370,75620,2010,
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",00-0000,28310,47770,82170,2010,
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",00-0000,21250,31490,50840,2010,
16980,"Chicago-Naperville-Joliet, IL-IN-WI",00-0000,22660,36590,61260,2010,
71650,"Boston-Cambridge-Quincy, MA-NH",00-0000,28290,44220,71140,2010,
19820,"Detroit-Warren-Livonia, MI",00-0000,23430,36750,59980,2010,
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",00-0000,25610,41550,69040,2010,
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",00-0000,24870,38190,59860,2010,
19100,"Dallas-Fort Worth-Arlington, TX",00-0000,21920,34460,55780,2010,
42660,"Seattle-Tacoma-Bellevue, WA",00-0000,28140,42930,67780,2010,
31100,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,23510,37620,64900,2011,
41860,"San Francisco-Oakland-Fremont, CA",00-0000,29100,47440,77900,2011,
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",00-0000,28650,48940,84610,2011,
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",00-0000,21300,31660,51400,2011,
16980,"Chicago-Joliet-Naperville, IL-IN-WI",00-0000,22780,36560,60930,2011,
71650,"Boston-Cambridge-Quincy, MA-NH",00-0000,28480,44860,72560,2011,
19820,"Detroit-Warren-Livonia, MI",00-0000,23680,37020,60380,2011,
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",00-0000,25780,42350,70750,2011,
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",00-0000,25220,38810,61080,2011,
19100,"Dallas-Fort Worth-Arlington, TX",00-0000,22150,34930,56800,2011,
42660,"Seattle-Tacoma-Bellevue, WA",00-0000,28960,44240,70220,2011,
31100,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,23550,37940,66150,2012,
41860,"San Francisco-Oakland-Fremont, CA",00-0000,29260,48370,80730,2012,
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",00-0000,28790,49370,85940,2012,
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",00-0000,21110,31250,51160,2012,
16980,"Chicago-Joliet-Naperville, IL-IN-WI",00-0000,22800,36830,62150,2012,
71650,"Boston-Cambridge-Quincy, MA-NH",00-0000,28640,45510,73230,2012,
19820,"Detroit-Warren-Livonia, MI",00-0000,23540,36940,60250,2012,
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",00-0000,25760,42660,71980,2012,
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",00-0000,25110,38800,61620,2012,
19100,"Dallas-Fort Worth-Arlington, TX",00-0000,22010,34830,56960,2012,
42660,"Seattle-Tacoma-Bellevue, WA",00-0000,28980,44750,72000,2012,
31100,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,23760,38090,66660,2013,
41860,"San Francisco-Oakland-Fremont, CA",00-0000,29340,48730,82670,2013,
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",00-0000,28820,49830,86700,2013,
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",00-0000,21150,31260,51260,2013,
16980,"Chicago-Joliet-Naperville, IL-IN-WI",00-0000,23000,36660,62250,2013,
71650,"Boston-Cambridge-Quincy, MA-NH",00-0000,28680,45880,74090,2013,
19820,"Detroit-Warren-Livonia, MI",00-0000,23680,37010,60730,2013,
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",00-0000,25900,43250,73490,2013,
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",00-0000,25150,39180,63240,2013,
19100,"Dallas-Fort Worth-Arlington, TX",00-0000,22240,35150,57690,2013,
42660,"Seattle-Tacoma-Bellevue, WA",00-0000,29110,45170,73360,2013,
31100,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,23850,38290,66880,2014,
41860,"San Francisco-Oakland-Fremont, CA",00-0000,29600,49330,84340,2014,
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",00-0000,28980,50070,87540,2014,
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",00-0000,21550,31830,52430,2014,
16980,"Chicago-Joliet-Naperville, IL-IN-WI",00-0000,23280,37590,63950,2014,
71650,"Boston-Cambridge-Quincy, MA-NH",00-0000,29000,46920,75990,2014,
19820,"Detroit-Warren-Livonia, MI",00-0000,23690,37270,61630,2014,
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",00-0000,25950,43660,74530,2014,
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",00-0000,25110,39480,64010,2014,
19100,"Dallas-Fort Worth-Arlington, TX",00-0000,22670,35610,58610,2014,
42660,"Seattle-Tacoma-Bellevue, WA",00-0000,29070,45040,73710,2014,
31080,"Los Angeles-Long Beach-Anaheim, CA",00-0000,24340,38700,67310,2015,
41860,"San Francisco-Oakland-Hayward, CA",00-0000,30440,50310,86550,2015,
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",00-0000,29240,50690,88600,2015,
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",00-0000,22010,32820,54030,2015,
16980,"Chicago-Naperville-Elgin, IL-IN-WI",00-0000,23800,38250,64650,2015,
71650,"Boston-Cambridge-Nashua, MA-NH",00-0000,29510,48020,77940,2015,
19820,"Detroit-Warren-Dearborn, MI",00-0000,23990,37830,62610,2015,
35620,"New York-Newark-Jersey City, NY-NJ-PA",00-0000,26120,44100,75120,2015,
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",00-0000,25270,39720,64990,2015,
19100,"Dallas-Fort Worth-Arlington, TX",00-0000,23220,36450,59930,2015,
42660,"Seattle-Tacoma-Bellevue, WA",00-0000,30040,46330,75300,2015,
31080,"Los Angeles-Long Beach-Anaheim, CA",00-0000,25180,39680,68420,2016,
41860,"San Francisco-Oakland-Hayward, CA",00-0000,31480,51780,88390,2016,
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",00-0000,30040,52270,91310,2016,
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",00-0000,22710,33900,55190,2016,
16980,"Chicago-Naperville-Elgin, IL-IN-WI",00-0000,24440,39380,66920,2016,
71650,"Boston-Cambridge-Nashua, MA-NH",00-0000,30210,49340,79930,2016,
19820,"Detroit-Warren-Dearborn, MI",00-0000,24360,38630,63930,2016,
35620,"New York-Newark-Jersey City, NY-NJ-PA",00-0000,26760,45220,76990,2016,
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",00-0000,25780,40360,65970,2016,
19100,"Dallas-Fort Worth-Arlington, TX",00-0000,24030,37430,61430,2016,
42660,"Seattle-Tacoma-Bellevue, WA",00-0000,31090,47650,77310,2016,
31080,"Los Angeles-Long Beach-Anaheim, CA",00-0000,25640,39800,68440,2017,
41860,"San Francisco-Oakland-Hayward, CA",00-0000,31660,51750,88740,2017,
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",00-0000,30480,53310,92990,2017,
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",00-0000,23270,34670,56110,2017,
16980,"Chicago-Naperville-Elgin, IL-IN-WI",00-0000,25080,39990,67690,2017,
71650,"Boston-Cambridge-Nashua, MA-NH",00-0000,30990,50250,80990,2017,
19820,"Detroit-Warren-Dearborn, MI",00-0000,24930,39240,65070,2017,
35620,"New York-Newark-Jersey City, NY-NJ-PA",00-0000,27310,45900,78090,2017,
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",00-0000,26660,41540,67970,2017,
19100,"Dallas-Fort Worth-Arlington, TX",00-0000,24540,38020,62660,2017,
